ID;edad;trabajo;estado_civil;educacion;deuda;saldo;vivienda;prestamo;tipo_contacto;duracion;fecha_contacto;campaign;tiempo_transcurrido;contactos_anteriores;resultado_campanas_anteriores;target
98;28;blue-collar;soltero;universitarios;no;1984;si;no;movil;32;4-may-2021;2;14;1;sin_exito;no
99;34;technician;casado;secundaria/superiores;no;256;si;no;movil;201;12-aug-2021;2;267;1;sin_exito;no
100;33;admin.;soltero;universitarios;no;193;no;no;;132;5-may-2021;2;-1;0;;no
101;36;unemployed;casado;secundaria/superiores;no;-129;si;no;movil;121;29-jul-2021;3;-1;0;;no
102;27;admin.;soltero;secundaria/superiores;no;691;si;no;;418;3-jun-2021;2;-1;0;;no
103;40;retired;soltero;secundaria/superiores;no;1734;si;no;;123;3-jun-2021;4;-1;0;;no
104;34;blue-collar;casado;secundaria/superiores;no;563;no;si;movil;150;3-feb-2021;2;-1;0;;no
105;47;blue-collar;casado;secundaria/superiores;no;303;no;no;;261;11-jun-2021;1;-1;0;;no
106;40;blue-collar;casado;secundaria/superiores;no;1313;no;no;;87;14-may-2021;1;-1;0;;no
107;56;blue-collar;soltero;secundaria/superiores;no;6483;si;no;movil;125;16-apr-2021;2;-1;0;;no
108;60;management;casado;universitarios;no;73;no;no;fijo;243;8-aug-2021;2;-1;0;;si
109;47;admin.;casado;;no;0;si;no;;164;7-may-2021;1;-1;0;;no
110;54;management;casado;secundaria/superiores;no;4816;no;si;movil;406;9-jul-2021;1;-1;0;;no
111;31;student;soltero;universitarios;no;117;si;no;fijo;41;18-jul-2021;1;-1;0;;no
112;52;management;soltero;universitarios;no;37;no;no;movil;1284;7-jul-2021;1;-1;0;;no
113;24;student;soltero;secundaria/superiores;no;431;no;no;movil;418;19-aug-2021;11;185;5;exito;si
114;30;services;casado;secundaria/superiores;no;5;no;si;movil;829;10-jul-2021;5;-1;0;;si
115;46;blue-collar;casado;priamaria;no;-339;si;si;movil;182;11-may-2021;2;-1;0;;no
116;45;admin.;casado;secundaria/superiores;no;171;si;no;;539;12-may-2021;1;-1;0;;no
117;40;student;soltero;secundaria/superiores;no;595;si;no;movil;406;3-jun-2021;2;-1;0;;si
118;32;admin.;casado;secundaria/superiores;no;684;si;no;movil;607;14-may-2021;3;-1;0;;si
119;26;services;casado;secundaria/superiores;no;4;si;no;movil;201;28-jul-2021;2;-1;0;;no
120;35;technician;casado;universitarios;no;0;si;si;movil;135;26-apr-2021;3;363;2;sin_exito;no
121;53;entrepreneur;casado;secundaria/superiores;no;230;si;no;movil;56;4-feb-2021;2;250;1;otro;no
122;49;management;casado;universitarios;no;108;no;no;movil;210;26-aug-2021;6;-1;0;;no
123;52;blue-collar;casado;priamaria;no;0;no;no;movil;179;11-aug-2021;4;-1;0;;no
124;41;technician;soltero;universitarios;no;15302;no;no;movil;121;19-aug-2021;4;-1;0;;no
125;57;admin.;casado;secundaria/superiores;no;4168;si;si;;47;16-may-2021;1;-1;0;;no
126;51;blue-collar;casado;priamaria;no;48;no;si;;130;17-jun-2021;1;-1;0;;no
127;31;services;soltero;secundaria/superiores;no;166;si;no;movil;227;11-may-2021;1;-1;0;;no
128;36;management;casado;universitarios;no;11675;si;no;movil;48;20-nov-2021;1;-1;0;;no
129;35;retired;casado;priamaria;no;329;no;si;movil;520;8-jul-2021;3;-1;0;;no
130;49;blue-collar;casado;priamaria;no;154;si;no;movil;26;18-aug-2021;15;-1;0;;no
131;35;entrepreneur;casado;universitarios;no;7962;si;no;movil;275;9-apr-2021;2;140;2;sin_exito;no
132;31;management;casado;secundaria/superiores;no;466;si;no;movil;164;14-may-2021;1;-1;0;;no
133;37;blue-collar;casado;;no;969;si;no;movil;343;14-may-2021;2;-1;0;;no
134;32;technician;casado;universitarios;no;2976;si;no;movil;783;5-feb-2021;1;175;5;sin_exito;si
135;41;admin.;casado;secundaria/superiores;no;4320;si;no;;245;5-jun-2021;2;-1;0;;no
136;30;technician;soltero;universitarios;no;880;si;si;;967;19-may-2021;6;-1;0;;si
137;36;self-employed;casado;secundaria/superiores;no;1245;si;no;movil;8;9-feb-2021;7;248;9;exito;no
138;33;blue-collar;casado;secundaria/superiores;no;315;no;no;movil;146;4-feb-2021;3;-1;0;;si
139;51;technician;soltero;secundaria/superiores;no;1153;si;no;movil;76;20-apr-2021;5;-1;0;;no
140;32;management;soltero;universitarios;no;0;no;no;movil;63;29-aug-2021;2;-1;0;;no
141;40;blue-collar;casado;priamaria;no;442;si;no;movil;212;1-apr-2021;1;-1;0;;no
142;43;management;soltero;universitarios;no;483;no;no;movil;950;19-aug-2021;6;-1;0;;si
143;34;blue-collar;casado;priamaria;no;695;si;si;;1064;16-may-2021;4;-1;0;;si
144;40;housemaid;casado;secundaria/superiores;no;84;si;si;;230;12-jun-2021;7;-1;0;;no
145;51;blue-collar;casado;secundaria/superiores;no;2007;si;no;movil;1226;12-aug-2021;3;-1;0;;si
146;58;housemaid;divorciado;secundaria/superiores;no;0;no;no;movil;478;2-jul-2021;2;-1;0;;si
147;47;services;casado;secundaria/superiores;no;1315;no;no;movil;329;20-nov-2021;4;-1;0;;si
148;52;management;casado;universitarios;no;698;si;no;movil;213;11-jul-2021;2;-1;0;;no
149;53;management;casado;universitarios;no;6525;si;no;;73;2-jun-2021;3;-1;0;;no
150;32;blue-collar;casado;secundaria/superiores;no;736;si;no;;700;23-may-2021;3;-1;0;;no
151;32;technician;casado;secundaria/superiores;no;0;si;si;movil;428;10-jul-2021;1;-1;0;;no
152;49;technician;soltero;secundaria/superiores;no;9131;si;no;movil;532;18-aug-2021;1;461;5;sin_exito;si
153;57;technician;divorciado;priamaria;no;13;si;no;movil;323;8-may-2021;2;368;2;sin_exito;no
154;38;management;casado;universitarios;no;14352;no;no;;8;6-sep-2021;1;-1;0;;no
155;32;technician;casado;secundaria/superiores;no;-410;si;si;movil;179;12-may-2021;3;-1;0;;no
156;20;student;casado;;no;292;no;no;movil;45;4-may-2021;1;-1;0;;no
157;32;admin.;divorciado;secundaria/superiores;no;298;si;no;movil;12;9-feb-2021;4;-1;0;;no
158;33;management;casado;universitarios;no;3915;no;no;movil;65;7-aug-2021;4;-1;0;;no
159;30;student;soltero;;no;145;no;no;movil;96;5-feb-2021;3;175;1;sin_exito;no
160;37;entrepreneur;casado;universitarios;no;264;si;si;;220;16-jun-2021;1;-1;0;;no
161;34;technician;casado;secundaria/superiores;no;0;si;no;movil;141;25-jul-2021;3;-1;0;;no
162;32;admin.;soltero;secundaria/superiores;no;289;no;no;;255;15-may-2021;12;-1;0;;no
163;36;management;casado;universitarios;no;82;no;no;movil;124;2-feb-2021;1;178;4;exito;no
164;49;admin.;divorciado;secundaria/superiores;no;560;si;no;movil;85;25-jul-2021;3;-1;0;;no
165;49;technician;casado;secundaria/superiores;si;410;no;no;movil;117;27-aug-2021;7;-1;0;;no
166;53;admin.;divorciado;secundaria/superiores;no;887;si;no;;169;13-may-2021;2;-1;0;;no
167;53;management;divorciado;universitarios;no;6649;si;no;movil;83;7-jul-2021;1;-1;0;;no
168;56;technician;divorciado;secundaria/superiores;no;3450;no;no;movil;507;10-aug-2021;1;181;2;exito;si
169;50;blue-collar;casado;secundaria/superiores;no;3988;no;no;;165;30-jun-2021;4;-1;0;;no
170;31;unemployed;soltero;priamaria;no;1;no;no;movil;19;2-feb-2021;6;-1;0;;no
171;75;retired;casado;priamaria;no;962;no;no;movil;344;17-jun-2021;1;-1;0;;no
172;34;management;casado;universitarios;no;158;no;no;movil;278;9-sep-2021;2;132;4;sin_exito;si
173;56;retired;divorciado;secundaria/superiores;no;-82;no;si;movil;234;29-jul-2021;6;-1;0;;no
174;56;management;soltero;universitarios;no;545;si;no;movil;86;29-jan-2021;1;-1;0;;no
175;44;technician;soltero;secundaria/superiores;no;59;si;no;movil;9;18-may-2021;4;341;19;sin_exito;no
176;38;services;casado;secundaria/superiores;no;434;si;no;;411;20-may-2021;1;-1;0;;no
177;51;technician;divorciado;priamaria;no;300;no;si;movil;8;5-feb-2021;6;-1;0;;no
178;42;management;soltero;universitarios;no;1206;no;no;;136;9-jun-2021;4;-1;0;;no
179;37;management;casado;universitarios;no;784;si;no;movil;41;9-feb-2021;3;-1;0;;no
180;26;blue-collar;casado;secundaria/superiores;no;245;si;no;;146;28-may-2021;2;-1;0;;no
181;43;blue-collar;casado;secundaria/superiores;no;1035;no;no;movil;122;28-jan-2021;1;-1;0;;no
182;31;management;soltero;universitarios;no;1475;si;si;;76;2-jun-2021;1;-1;0;;no
183;36;technician;casado;universitarios;no;341;no;no;movil;419;12-feb-2021;2;183;1;exito;si
184;46;management;casado;universitarios;no;2671;no;no;movil;180;13-nov-2021;3;91;4;exito;no
185;27;management;soltero;universitarios;no;6791;no;no;movil;136;24-jun-2021;5;94;30;sin_exito;no
186;37;management;divorciado;universitarios;no;199;si;no;;50;18-oct-2021;1;-1;0;;no
187;36;management;casado;universitarios;no;699;no;no;movil;125;23-jul-2021;1;-1;0;;no
188;27;entrepreneur;casado;universitarios;no;-23;no;no;movil;123;10-jul-2021;4;-1;0;;no
189;41;technician;casado;secundaria/superiores;no;2185;si;no;movil;157;7-apr-2021;4;309;4;otro;no
190;44;management;casado;universitarios;no;318;no;no;movil;638;18-nov-2021;2;-1;0;;no
191;32;management;soltero;universitarios;no;715;no;no;movil;159;11-aug-2021;1;-1;0;;no
192;24;student;soltero;secundaria/superiores;no;1684;no;no;movil;112;6-apr-2021;4;-1;0;;no
193;60;housemaid;casado;;no;10285;no;no;;174;6-jun-2021;2;-1;0;;no
194;31;technician;soltero;secundaria/superiores;no;147;si;no;;374;7-may-2021;1;-1;0;;no
195;57;management;divorciado;universitarios;no;909;si;no;movil;147;25-jul-2021;2;-1;0;;no
196;34;blue-collar;soltero;secundaria/superiores;no;3043;si;si;movil;670;20-nov-2021;1;-1;0;;si
197;31;management;casado;universitarios;no;430;si;no;movil;137;25-jul-2021;16;-1;0;;no
198;46;blue-collar;casado;priamaria;no;1;si;si;fijo;270;10-jul-2021;7;-1;0;;no
199;44;management;casado;universitarios;no;4119;si;si;fijo;1074;21-nov-2021;1;-1;0;;si
200;35;management;casado;universitarios;no;-126;no;no;movil;82;22-aug-2021;2;-1;0;;no
201;30;technician;casado;secundaria/superiores;no;-287;si;no;movil;244;14-jul-2021;3;-1;0;;no
202;37;technician;casado;secundaria/superiores;no;1142;si;no;movil;309;17-jul-2021;2;-1;0;;no
203;42;management;casado;universitarios;no;72;si;no;movil;124;20-apr-2021;2;348;3;sin_exito;no
204;33;services;casado;secundaria/superiores;no;-52;si;no;movil;278;18-may-2021;1;-1;0;;no
205;50;housemaid;casado;priamaria;no;238;no;no;movil;968;27-aug-2021;5;-1;0;;no
206;41;admin.;divorciado;secundaria/superiores;no;261;si;no;movil;797;29-jul-2021;15;-1;0;;no
207;41;admin.;casado;secundaria/superiores;no;8238;si;si;;124;30-may-2021;4;-1;0;;no
208;45;admin.;casado;priamaria;no;-407;si;si;movil;503;29-jan-2021;2;224;18;otro;no
209;30;technician;soltero;secundaria/superiores;no;3;no;no;movil;21;28-aug-2021;6;-1;0;;no
210;53;management;casado;universitarios;no;1624;no;no;movil;166;11-nov-2021;3;97;7;exito;si
211;29;student;soltero;universitarios;no;80;si;no;movil;15;15-may-2021;5;361;1;sin_exito;no
212;37;management;casado;universitarios;no;-9;no;no;movil;168;29-aug-2021;2;-1;0;;no
213;35;services;casado;secundaria/superiores;no;0;no;no;;115;9-jun-2021;4;-1;0;;no
214;59;blue-collar;casado;priamaria;no;-91;si;no;movil;239;13-may-2021;1;369;5;sin_exito;no
215;39;blue-collar;casado;priamaria;no;3324;no;no;movil;108;9-jul-2021;1;-1;0;;no
216;51;admin.;casado;secundaria/superiores;no;42;si;no;movil;80;13-may-2021;2;-1;0;;no
217;34;management;soltero;universitarios;no;2159;no;no;;386;18-feb-2021;1;-1;0;;si
218;33;blue-collar;soltero;universitarios;no;350;si;no;;137;24-jun-2021;5;-1;0;;no
219;52;blue-collar;divorciado;priamaria;no;3990;no;no;movil;1548;19-nov-2021;1;153;1;otro;no
220;30;management;soltero;universitarios;no;1761;si;no;movil;229;15-may-2021;2;294;1;otro;no
221;42;blue-collar;casado;priamaria;no;784;no;no;movil;428;28-apr-2021;3;-1;0;;no
222;80;retired;casado;secundaria/superiores;no;2354;no;no;fijo;199;4-aug-2021;2;181;3;exito;no
223;25;student;soltero;;no;722;no;no;fijo;623;21-apr-2021;2;-1;0;;si
224;41;self-employed;casado;secundaria/superiores;no;713;si;no;;78;19-may-2021;1;-1;0;;no
225;35;blue-collar;soltero;priamaria;no;-631;si;no;movil;124;28-jul-2021;3;-1;0;;no
226;52;blue-collar;casado;secundaria/superiores;no;8180;si;no;movil;81;13-apr-2021;1;144;1;sin_exito;no
227;37;blue-collar;casado;secundaria/superiores;no;949;si;no;movil;302;15-may-2021;1;-1;0;;no
228;54;housemaid;divorciado;secundaria/superiores;no;1327;no;no;;115;5-jun-2021;2;-1;0;;no
229;36;blue-collar;soltero;secundaria/superiores;no;767;si;no;movil;62;5-may-2021;1;355;2;otro;no
230;26;self-employed;soltero;secundaria/superiores;no;166;si;no;movil;83;16-jul-2021;2;-1;0;;no
231;41;services;soltero;priamaria;no;5907;si;no;movil;198;7-may-2021;1;167;5;sin_exito;no
232;52;technician;casado;secundaria/superiores;no;989;no;no;movil;356;11-aug-2021;1;-1;0;;no
233;44;services;casado;secundaria/superiores;no;382;no;no;;1167;5-jun-2021;1;-1;0;;no
234;48;blue-collar;soltero;secundaria/superiores;no;339;no;si;fijo;123;14-jul-2021;4;-1;0;;no
235;45;blue-collar;casado;;no;-72;si;no;movil;306;11-may-2021;1;-1;0;;no
236;53;technician;casado;secundaria/superiores;no;529;si;no;movil;558;28-jan-2021;1;-1;0;;no
237;56;self-employed;divorciado;priamaria;no;97;no;si;fijo;215;17-nov-2021;1;-1;0;;no
238;48;admin.;soltero;secundaria/superiores;no;3531;si;no;movil;81;20-apr-2021;2;287;6;sin_exito;no
239;26;blue-collar;soltero;secundaria/superiores;no;5829;no;no;movil;41;23-jul-2021;2;-1;0;;no
240;51;blue-collar;casado;priamaria;no;2995;si;no;;93;11-jun-2021;2;-1;0;;no
241;25;blue-collar;soltero;secundaria/superiores;no;158;si;si;movil;231;16-jul-2021;2;-1;0;;no
242;54;technician;casado;secundaria/superiores;no;0;no;no;movil;464;6-nov-2021;5;192;8;otro;si
243;42;blue-collar;soltero;priamaria;no;1628;si;no;movil;119;5-feb-2021;1;195;8;exito;no
244;48;unemployed;casado;secundaria/superiores;no;0;no;no;movil;195;18-aug-2021;3;-1;0;;no
245;28;management;soltero;universitarios;no;390;no;no;movil;845;29-sep-2021;1;232;4;exito;si
246;55;retired;casado;secundaria/superiores;no;1279;si;no;movil;446;13-may-2021;3;357;8;otro;no
247;32;blue-collar;casado;secundaria/superiores;no;1484;si;no;;363;30-may-2021;7;-1;0;;no
248;48;blue-collar;soltero;secundaria/superiores;no;312;si;si;movil;369;3-feb-2021;2;-1;0;;no
249;61;retired;casado;secundaria/superiores;no;1058;no;no;movil;159;27-apr-2021;3;-1;0;;si
250;38;services;casado;priamaria;no;0;si;si;movil;127;7-may-2021;1;171;2;otro;no
251;33;technician;soltero;secundaria/superiores;no;116;no;si;movil;307;4-aug-2021;1;-1;0;;no
252;61;management;casado;universitarios;no;3371;no;no;movil;299;28-sep-2021;2;-1;0;;si
253;36;management;casado;universitarios;no;618;no;no;movil;280;3-feb-2021;2;-1;0;;no
254;27;management;casado;universitarios;no;1918;no;no;movil;61;9-feb-2021;1;-1;0;;no
255;46;management;casado;universitarios;no;4301;si;si;movil;50;18-nov-2021;1;183;2;sin_exito;no
256;34;technician;casado;;no;4053;si;no;;123;23-may-2021;2;-1;0;;no
257;61;retired;casado;secundaria/superiores;no;569;no;no;movil;219;4-aug-2021;1;-1;0;;si
258;49;admin.;casado;secundaria/superiores;no;2062;no;no;;132;30-jun-2021;4;-1;0;;no
259;30;admin.;divorciado;secundaria/superiores;no;1320;si;si;movil;122;5-may-2021;3;362;1;sin_exito;no
260;30;management;soltero;universitarios;no;1268;no;no;movil;73;16-jul-2021;4;-1;0;;no
261;51;retired;casado;secundaria/superiores;no;509;si;no;movil;121;15-jul-2021;4;-1;0;;no
262;73;retired;casado;secundaria/superiores;no;2850;no;no;movil;157;17-may-2021;2;28;5;sin_exito;no
263;40;technician;casado;secundaria/superiores;no;192;no;no;movil;266;7-aug-2021;2;-1;0;;no
264;32;management;casado;universitarios;no;-55;si;no;movil;107;26-aug-2021;4;-1;0;;no
265;48;blue-collar;casado;priamaria;no;680;si;no;;387;15-may-2021;4;-1;0;;no
266;33;management;soltero;universitarios;no;1410;si;no;movil;8;5-feb-2021;1;254;5;sin_exito;no
267;50;housemaid;divorciado;secundaria/superiores;no;0;no;no;fijo;43;13-aug-2021;1;105;2;sin_exito;no
268;54;housemaid;casado;secundaria/superiores;no;922;no;no;fijo;123;28-jan-2021;2;-1;0;;no
269;33;admin.;casado;secundaria/superiores;no;1114;si;no;movil;250;14-jul-2021;3;-1;0;;no
270;37;management;soltero;secundaria/superiores;no;655;no;si;movil;258;4-feb-2021;6;-1;0;;no
271;49;self-employed;casado;secundaria/superiores;no;1;si;no;;260;6-may-2021;3;-1;0;;no
272;32;housemaid;casado;universitarios;no;10;si;no;;658;2-jun-2021;2;-1;0;;no
273;27;admin.;soltero;secundaria/superiores;no;827;si;no;movil;73;4-jun-2021;1;107;1;sin_exito;no
274;27;blue-collar;soltero;secundaria/superiores;no;535;no;no;movil;183;16-nov-2021;1;94;1;exito;si
275;45;blue-collar;casado;priamaria;no;487;si;no;movil;110;19-aug-2021;4;-1;0;;no
276;47;technician;divorciado;secundaria/superiores;no;2836;no;si;movil;10;14-aug-2021;2;-1;0;;no
277;64;management;casado;universitarios;no;679;no;no;fijo;135;22-apr-2021;3;-1;0;;no
278;45;blue-collar;soltero;secundaria/superiores;no;0;si;no;movil;283;16-oct-2021;1;165;3;sin_exito;no
